Date;432 - Interest rate - Selic target - % p.y.;1178 - Interest rate - Selic in annual terms (basis 252) - % p.y.;4389 - Interest rate - CDI in annual terms (basis 252) - % p.y.
04/03/1999;-;38.97 ;38.52
05/03/1999;45.00 ;44.92 ;44.27
06/03/1999;45.00 ;-;-
07/03/1999;45.00 ;-;-
08/03/1999;45.00 ;44.97 ;44.29
09/03/1999;45.00 ;44.84 ;44.17
10/03/1999;45.00 ;44.91 ;44.18
11/03/1999;45.00 ;44.97 ;44.33
12/03/1999;45.00 ;44.96 ;44.30
13/03/1999;45.00 ;-;-
14/03/1999;45.00 ;-;-
15/03/1999;45.00 ;44.96 ;44.27
16/03/1999;45.00 ;44.96 ;44.24
17/03/1999;45.00 ;44.96 ;44.29
18/03/1999;45.00 ;44.96 ;44.34
19/03/1999;45.00 ;44.99 ;44.26
20/03/1999;45.00 ;-;-
21/03/1999;45.00 ;-;-
22/03/1999;45.00 ;44.98 ;44.25
23/03/1999;45.00 ;44.95 ;44.23
24/03/1999;45.00 ;44.94 ;44.25
25/03/1999;42.00 ;41.96 ;41.33
26/03/1999;42.00 ;42.02 ;41.31
27/03/1999;42.00 ;-;-
28/03/1999;42.00 ;-;-
29/03/1999;42.00 ;41.99 ;41.31
30/03/1999;42.00 ;41.97 ;41.27
31/03/1999;42.00 ;41.93 ;39.26
01/04/1999;42.00 ;-;-
02/04/1999;42.00 ;-;-
03/04/1999;42.00 ;-;-
04/04/1999;42.00 ;-;-
05/04/1999;42.00 ;41.91 ;38.68
06/04/1999;39.50 ;39.47 ;38.53
07/04/1999;39.50 ;39.44 ;38.50
08/04/1999;39.50 ;39.44 ;38.54
09/04/1999;39.50 ;39.42 ;38.56
10/04/1999;39.50 ;-;-
11/04/1999;39.50 ;-;-
12/04/1999;39.50 ;39.41 ;38.62
13/04/1999;39.50 ;39.40 ;38.59
14/04/1999;39.50 ;39.39 ;32.75
15/04/1999;34.00 ;33.90 ;33.36
16/04/1999;34.00 ;33.96 ;33.36
17/04/1999;34.00 ;-;-
18/04/1999;34.00 ;-;-
19/04/1999;34.00 ;33.94 ;33.40
20/04/1999;34.00 ;33.94 ;33.27
21/04/1999;34.00 ;-;-
22/04/1999;34.00 ;33.93 ;33.05
23/04/1999;34.00 ;33.92 ;32.44
24/04/1999;34.00 ;-;-
25/04/1999;34.00 ;-;-
26/04/1999;34.00 ;33.89 ;32.41
27/04/1999;34.00 ;33.89 ;32.31
28/04/1999;34.00 ;33.89 ;32.08
29/04/1999;32.00 ;31.97 ;31.44
30/04/1999;32.00 ;31.93 ;31.41
01/05/1999;32.00 ;-;-
02/05/1999;32.00 ;-;-
03/05/1999;32.00 ;31.90 ;31.36
04/05/1999;32.00 ;31.92 ;31.40
05/05/1999;32.00 ;31.90 ;31.38
06/05/1999;32.00 ;31.88 ;31.28
07/05/1999;32.00 ;31.87 ;30.20
08/05/1999;32.00 ;-;-
09/05/1999;32.00 ;-;-
10/05/1999;29.50 ;29.67 ;29.01
11/05/1999;29.50 ;29.46 ;28.95
12/05/1999;29.50 ;29.45 ;28.93
13/05/1999;27.00 ;27.04 ;26.57
14/05/1999;27.00 ;27.03 ;26.42
15/05/1999;27.00 ;-;-
16/05/1999;27.00 ;-;-
17/05/1999;27.00 ;26.94 ;25.98
18/05/1999;27.00 ;26.91 ;25.61
19/05/1999;27.00 ;26.89 ;22.79
20/05/1999;23.50 ;23.53 ;22.90
21/05/1999;23.50 ;23.46 ;22.88
22/05/1999;23.50 ;-;-
23/05/1999;23.50 ;-;-
24/05/1999;23.50 ;23.43 ;22.85
25/05/1999;23.50 ;23.42 ;22.88
26/05/1999;23.50 ;23.39 ;22.86
27/05/1999;23.50 ;23.38 ;22.58
28/05/1999;23.50 ;23.35 ;22.45
29/05/1999;23.50 ;-;-
30/05/1999;23.50 ;-;-
31/05/1999;23.50 ;23.34 ;22.38
01/06/1999;23.50 ;23.28 ;22.39
02/06/1999;23.50 ;23.29 ;22.50
03/06/1999;23.50 ;-;-
04/06/1999;23.50 ;23.28 ;22.54
05/06/1999;23.50 ;-;-
06/06/1999;23.50 ;-;-
07/06/1999;23.50 ;23.28 ;22.53
08/06/1999;23.50 ;23.27 ;22.58
